type,component,label,family
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/ons-fdi-area,ONS FDI Area,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/fdi-component,FDI Component,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/fdi-industry,FDI Industry,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/hmrc-industry,HMRC Industry,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/nuts-geography,NUTS Geography,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/ons-functional-category,ONS Functional Category,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/ons-trade-areas-itis,ONS Trade Areas ITIS,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/itis-service,ITIS Service,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/itis-industry,ITIS Industry,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/sic-industry,SIC Industry,trade
http://purl.org/linked-data/cube#AttributeProperty,http://gss-data.org.uk/def/trade/property/attribute/marker,Marker,NA
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/ons-partner-geography,ONS Partner Geography,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/product-department,Product Department,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/product-category,Product Category,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/trades,Trades,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/account-type,Account Type,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/income,Income,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/income-description,Income Description,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/earnings,Earnings,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/sector,Sector,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/transaction-type,Transaction Type,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/inventory,Inventory,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/expenditure-category,Expenditure Category,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/analysis,Analysis,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/income-category,Income Category,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/industrial-sector,Industrial Sector,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/estimate-type,Estimate Type,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/expenditure,Expenditure,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/trade-type,Trade Type,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/income-indicator,Income Indicator,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/expenditure-type,Expenditure Type,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/industry,Industry,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/aggregate,Aggregate,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/household-expenditure,Household Expenditure,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/capital-formation,Capital Formation,trade
